"","webpage","Artist","titles","words"
"1","https://www.allthelyrics.com/lyrics/eminem/final_battle_from_8_mile-lyrics-484386.html","eminem","Final Battle (From 8 Mile) ","Now everybody from the 313
Put your motherfucking hands up and follow me
Everybody from the 313
Put your motherfucking hands up
Look Look
Now while he stands tough
Notice that this man did not have his hands up
This free world got you gased up
Now who's afraid of the big bad wolf
1, 2, 3 and to the 4
1 pac , 2 pac, 3 pac, 4
4 pac, 3 pac, 2 pac, 1
You're pac, he's pac, no pacs, none
This guy ain't no mother-fucking MC,
I know everything he's got to say against me,
I am white, I am a fucking bum, I do live in a trailer with my mom,
My boy Future is an Uncle Tom.
I do got a dumb friend named Cheddar Bob who shoots
himself in the leg with his own gun,
I did get jumped by all 6 of you chumps
And Wink did fuck my girl,
I'm still standing here screaming ""FUCK THE FREE WORLD!""
Don't ever try to judge me dude
You don't know what the fuck I've been through
But I know something about you
You went to Cranbrook, that's a private school
What's the matter dawg? You embarrassed?
This guy's a gangster? he's real name's Clarence
And Clarence lives at home with both parents
And Clarence's parents have a real good marriage
This guy don't wanna battle, He's shook
'Cause there no such things as half-way crooks
He's scared to death
He's scared to look in his fucking yearbook, fuck Cranbrook
Fuck the beat, I go acapella
Fuck a papa doc, fuck a clock, fuck a trailer, fuck everybody
Fuck y'all if you doubt me
I'm a piece of fucking white trash, I say it proudly
And fuck this battle, I don't wanna win, I'm outtie,
Here, tell these people something they don't know about me.
"
"2","https://www.allthelyrics.com/lyrics/eminem/chin_tiki_fat_guy_rap-lyrics-141701.html","eminem","Chin Tiki Fat Guy Rap ","Now I'm De Sheiki
Smokin the leak leaky
Ten Freaky girls inside the Chin Tiki
When you look at me you better believe me
This ain't a game and pimpin ain't easy
Anything goes when it comes to hoes
I'm the kingpin when it comes to flows
You better ask someone if you don't know
When you see me girl say what up Doe!
Chin Tiki girls Chin Chin Chin Tiki girls
"
"3","https://www.allthelyrics.com/lyrics/eminem/lose_yourself-lyrics-10632.html","eminem","Lose Yourself ","Look, if you had one shot, or one opportunity
To seize everything you ever wanted, one moment
Would you capture it, or just let it slip?  Yo
His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface he looks calm and ready
To drop bombs, but he keeps on forgettin'
What he wrote down, the whole crowd goes so loud
He opens his mouth, but the words won't come out
He's chokin' how, everybody's chokin' now
The clock's run out, time's up, over, bloah!
Snap back to reality, oh, there goes gravity
Oh, there goes Rabbit, he choked, he's so mad
But he won't give up that easy, no, he won't have it
He knows his whole back's to these ropes
It don't matter, he's dope
He knows that, but he's broke, he's so stagnant, he knows
When he goes back to his mobile home, that's when it's
Back to the lab again, yo, this whole rhapsody
He better go capture this moment and hope it don't pass him
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime
The soul's escaping through this hole that is gaping
This world is mine for the taking, make me king
As we move toward a new world order
A normal life is boring, but superstardom's close to post-mortem
It only grows harder, only grows hotter
He blows us all over, these hoes is all on him
Coast to coast shows, he's known as the globetrotter
Lonely roads, God only knows he's grown farther from home
He's no father, he goes home and barely knows his own daughter
But hold your nose cuz here goes the cold water
These hoes don't want him no mo', he's cold product
They moved on to the next schmoe who flows
He nose dove and sold nada
So the soap opera is told and unfolds, I suppose it's old partner
But the beat goes on da da dum da dum da da
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot do not miss your chance to blow
This opportunity comes once in a lifetime
No more games, I'ma change what you call rage
Tear this mothafuckin' roof off like 2 dogs caged
I was playin' in the beginnin, the mood all changed
I been chewed up and spit out and booed off stage
But I kept rhymin' and stepwritin' the next cypher
Best believe somebody's payin' the pied piper
All the pain inside amplified by the fact
That I can't get by with my nine to five
And I can't provide the right type of life for my family
Cuz man, these goddam food stamps don't buy diapers
And it's no movie, there's no Mekhi Phifer
This is my life, and these times are so hard
And it's getting even harder tryin' to feed and water my seed, plus
Teetertotter caught up between bein a father and a prima donna
Baby mama drama screamin on and too much for me to wanna
Stay in one spot, another day of monotony
Has gotten me to the point I'm like a snail
I've got to formulate a plot or end up in jail or shot
Success is my only mothafuckin' option, failure's not
Mom, I love you, but this trailer's got to go
I cannot grow old in Salem's lot
So here I go with my shot, feet fail me not
This may be the only opportunity that I got
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime
You better lose yourself in the music, the moment
You own it, you better never let it go
You only get one shot do not miss your chance to blow
This opportunity comes once in a lifetime
You can do anything you set your mind to, man
"
"4","https://www.allthelyrics.com/lyrics/eminem/the_real_slim_shady-lyrics-10595.html","eminem","The Real Slim Shady ","May I have your attention please?
May I have your attention please?
Will the real Slim Shady please stand up?
I repeat, will the real Slim Shady please stand up?
We're gonna have a problem here
Y'all act like ya never seen a white person before
Jaws all on the floor like Pam, like Tommy just burst in the door
And started whooping her ass worse than before
They first were divorce, throwin'her over furniture (Ahh!)
It's the return of the...
Ah, wait, no way, you're kidding,
he just didn't say what I think he did, did he?
And Dr. Dre said...
Nothing you idiots! Dr. Dre's dead, he's locked in my basement!
(Ha-ha!)
Feminist women love Eminem
{*Eminem's vocal turntable*} Slim Shady, I'm sick of him
Look at him, walking around grabbing his you-know-what
Flipping the you-know-who, yeah, but he's so cute though
Yeah, I probably got a couple of screws up in my head loose
But no worse than what's going on in your parents' bedrooms
Sometimes, I wanna get on TV and just let loose, but can't
But it's cool for Tom Green to hump a dead moose
My bum is on your lips, my bum is on your lips
And if I'm lucky, you might just give it a little kiss
And that's the message that we deliver to little kids
And expect them not to know what a woman's clitoris is
Of course they gonna know what intercourse is
By the time they hit fourth grade
They got the Discovery Channel don't they?
We ain't nothing but mammals
Well, some of us cannibals
Who cut other people open like cantaloupes
But if we can hump dead animals and antelopes
Then there's no reason that a man and another man can't elope
But if you feel like I feel, I got the anecdote
Women wave your panty-hoes, sing the chorus and it goes
1-    I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up?
Please stand up, please stand up
Cuz I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up?
Please stand up, please stand up
Will Smith don't gotta cuss in his raps to sell his records
Well I do so  Fuck him and fuck you too!
You think I give a damn about a Grammy?
Half of you critics can't even stomach me let alone stand me
But Slim, what if you win, wouldn't it be weird?
Why? So you guys could just lie to get me here
So you can sit me here next to Britney Spears
Shit Christina Aguilera better switch me chairs
So I can sit next to Carson Daly and Fred Durst
And hear them argue over who she gave head to first
You little bitch, put me on blast on MTV
Yeah, he's cute, but I think he's married to Kim, hee-hee
I should download her audio on MP3 and show the whole world
how you gave Eminem VD
I'm sick of you little girl and boy groups
All you do is annoy me so I have been sent here to destroy you
And there's a million of us just like me
Who cuss like me; who just don't give a fuck like me
Who dress like me; walk, talk and act like me
And just might be the next best thing but not quite me!
Repeat 1
I'm like a head trip to listen to cuz I'm only giving you
Things you joke about with your friends inside your living room
The only difference is I got the balls to say it
In front of y'all and I don't gotta be frost or sugar coated at all
I just get on a mic and spit it and whether you like to admit it
I just shitted better than 90 percent of you rappers out there
Then you wonder how can kids eat up these albums like valiums
It's funny cuz at the rate I'm going when I'm 30
I'll be the only person in the nursing home flirting
Pinching nurses asses when I'm jacking off with Jergens
And I'm jerkin'but this whole bag of Viagra isn't working
And every single person is a Slim Shady lurking
He could be working at Burger King spitting on your onion rings
Or in the parking lot, circling, screaming  I don't give a fuck!
With his windows down and his system up
So, will the real Shady please stand up?
And put one of those fingers on each hand up?
And be proud to be outta ya mind and outta control
And one more time, loud as you can, how does it go?
Repeat 1
Repeat 1
Ha ha
Guess there's a Slim Shady in all of us
Fuck it, let's all stand up
"
"5","https://www.allthelyrics.com/lyrics/eminem/8_mile-lyrics-10629.html","eminem","8 Mile ","Sometimes I just feel like
Quitting I still might
Why do I put up this fight?
Why do I still write?
Sometimes it's hard enough just dealing with real life
Sometimes I wanna jump on stage and just kill mics
And show these people what my level of skill's like
But I'm still white
Sometimes I just hate life
Something ain't right
Hit the brake lights
Case of the stage fright
Drawing a blank like
(blabbering)
It ain't my fault
Great big eye balls
My insides crawl
And I clam up
I just slam shut
I just can't do it
My whole manhood's just been stripped
I have just been ripped
So I must then get
Off the bus then split
Man fuck this shit
Yo, I'm going the fuck home
Rolling my shoulders as I run back to this 8 Mile Road
I'm a man
I'ma make a new plan
Time for me to just stand up and travel new land
Time for me to just take matters into my own hands
Once I'm over these tracks, man I'ma never look back
And I'm gone
I know right where I'm going
Sorry, momma, I'm grown
I must travel alone
Ain't gon' follow no footsteps I'm making my own
Only way that I know how to escape from this 8 Mile Road
Walking these train tracks
Tryin to regain back
The spirit I had 'fore I go back to the same crap
To the same plant
And the same pants
Tryin to chase rap
Gotta move ASAP
Get a new plan
Momma's got a new man
Poor little baby sister, she don't understand
Sits in front of the TV buries her nose in her pad
And just colors until the crayon gets dull in her hand
While she colors a big brother, a mother and dad
Ain't no telling what really goes on in her little head
Wish I could be the daddy that neither one of us had
But I keep running from something I never wanted so bad
Sometimes I get upset cuz I ain't blew up yet
It's like a grew up but I ain't grow me two nuts yet
Don't got a rep, my step
Don't got enough pep
The pressure's too much, man I'm just tryin to do what's best
And I try
Sit alone and I cry
Yo I won't tell no lie
Not a moment goes by
That I don't pray to the sky
Please, I'm beggin you God
Please don't let me be pigeon holed in no regular job
Yo I hope you can hear me homie wherever you are
Yo, I'm telling you dog I'm bailing this trailer tomorrow
Tell my mother I love her, kiss baby sister goodbye
Say whenever you need me, baby, I'm never too far
But yo I gotta get out there the only way I know
And I'ma be back for you the second that I blow
On everything I own
I'll make it on my own
Off to work I go
Back to this 8 Mile Road
I'm a man
Gotta make a new plan
Time for me to just stand up and travel new land
Time for me to just take matters into my own hands
Once I'm over these tracks, man I'ma never look back
And I'm gone
I know right where I'm going
Sorry, momma, I'm grown
I must travel alone
Ain't gon' follow no footsteps I'm making my own
Only way that I know how to escape from this 8 Mile Road
You gotta live it to feel it
You didn't, you wouldn't get it
Or see what the big deal is
Why it was and it still is
To be walking this borderline of Detroit's city limits
It's different and it's a certain significance
A certificate of authenticity
You'd never even see
But it's everything to me
It's my credibiiity
You'd never seen, heard, smelled or met a real mc
Who's incredible or on the same pedestal as me
But yet still unsigned
Having a rough time
Sit on the porch with all my friends and kick dumb rhymes
Go to work and serve mc's in the lunch line
When it comes crunch time
Where did my punch lines go?
Who must I show?
To bust my flow
Where must I go?
Who must I know?
Or am I just another crab in the bucket
Cuz I ain't having to run with this little rabbits but fuck it
Maybe I need a new outlet
I'm starting to doubt shit
I'm feeling a little skeptical who I hang out with
I live like a bum, yo my clothes ain't about shit
At the Salvation Army trying to salvage an outfit
And it's cold
Trying to travel this road
Plus I feel like I'm always stuck in this battling mode
My defenses are so up
The one thing I don't want
Is pity from no one
This city is no fun
There is no sun
And it's so dark
Sometimes I just feel like I'm being pulled apart
From each one of my limbs
By each one of my friends
It's enough to just make me wanna jump out of my skin
Sometimes I feel like a robot
Sometimes I just know not
What I'm doing, I just blow, my head is a stove top
I just explode, the kettle gets so hot
Sometimes my mouth just overloads the ass that I don't got
But I've learned
It's time for me to u-turn
Yo it only takes one time for me to get burned
Ain't no fallin' on next time I'll meet a new girl
I can not only play stupid or be immature
I got every ingredient all I need is the courage
Like I already got the beat all I need is the words
Got the urge
Suddenly it's a surge
Suddenly a new burst of energy has occured
Time to show these free world leaders the three and a third
I am no longer scared now, I'm free as a bird
Then I turn and cross over the median curb
Hit the burbs and all you see is a blur
I'm 8 Mile Road
I'm a man
Gotta make a new plan
Time for me to just stand up and travel new land
Time for me to just take matters into my own hands
Once I'm over these tracks, man I'ma never look back
And I'm gone
I know right where I'm going
Sorry, momma, I'm grown
I must travel alone
Ain't gon' follow no footsteps I'm making my own
Only way that I know how to escape from this 8 Mile Road
"
"6","https://www.allthelyrics.com/lyrics/eminem/97_bonnie_and_clyde-lyrics-10581.html","eminem","'97 Bonnie and Clyde ","* this is the same lyrics as ""Just the Two of Us"" from his EP
Just the two of us.. (8X)
[Eminem]
Baby your da-da loves you (hey)
And I'ma always be here for you (hey) no matter what happens
You're all I got in this world
I would never give you up for nothin
Nobody in this world is ever gonna keep you from me
I love you
C'mon Hai-Hai, we goin to the beach
Grab a couple of toys and let da-da strap you in the car seat
Oh where's mama?  She's takin a little nap in the trunk
Oh that smell (whew!) da-da musta runned over a skunk
Now I know what you're thinkin - it's kind of late to go swimmin
But you know your mama, she's one of those type of women
that do crazy things, and if she don't get her way, she'll throw a fit
Don't play with da-da's toy knife, honey, let go of it (no!)
And don't look so upset, why you actin bashful?
Don't you wanna help da-da build a sand castle? (yeah!)
And mama said she wants to show how far she can float
And don't worry about that little boo-boo on her throat
It's just a little scratch - it don't hurt, her was eatin
dinner while you were sweepin and spilled ketchup on her shirt
Mama's messy isn't she?  We'll let her wash off in the water
and me and you can pway by ourselves, can't we?
Just the two of us.. (2X)
And when we ride!
Just the two of us.. (2X)
Just you and I!
Just the two of us.. (2X)
And when we ride!
Just the two of us.. (2X)
Just you and I!
See honey.. there's a place called heaven and a place called hell
A place called prison and a place called jail
And da-da's probably on his way to all of em except one
Cause mama's got a new husband and a stepson
And you don't want a brother do ya?  (Nah)
Maybe when you're old enough to understand a little better
I'll explain it to ya
But for now we'll just say mama was real real bad
She was bein mean to dad and made him real real mad
But I still feel sad that I put her on time-out
Sit back in your chair honey, quit tryin to climb out (WAHH!)
I told you it's okay HaiHai, wanna ba-ba?
Take a night-night?  Nan-a-boo, goo-goo ga-ga?
Her make goo-goo ca-ca?  Da-da change your dia-dee
Clean the baby up so her can take a nighty-nighty
Your dad'll wake her up as soon as we get to the water
Ninety-seven Bonnie and Clyde, me and my daughter
Just the two of us.. (2X)
And when we ride!
Just the two of us.. (2X)
Just you and I!
Just the two of us.. (2X)
And when we ride!
Just the two of us.. (2X)
Just you and I!
Wake up sweepy head we're here, before we pway
we're gonna take mama for a wittle walk along the pier
Baby, don't cry honey, don't get the wrong idea
Mama's too sweepy to hear you screamin in her ear (ma-maa!)
That's why you can't get her to wake, but don't worry
Da-da made a nice bed for mommy at the bottom of the lake
Here, you wanna help da-da tie a rope around this rock?  (yeah!)
We'll tie it to her footsie then we'll roll her off the dock
Ready now, here we go, on the count of free..
One.. two.. free.. WHEEEEEE!  (whoooooshhhhh)
There goes mama, spwashin in the wa-ta
No more fightin wit dad, no more restraining order
No more step-da-da, no more new brother
Blow her kisses bye-bye, tell mama you love her (mommy!)
Now we'll go play in the sand, build a castle and junk
But first, just help dad with two more things out the trunk
Just the two of us.. (2X)
And when we ride!
Just the two of us.. (2X)
Just you and I!
Just the two of us.. (2X)
And when we ride!
Just the two of us.. (2X)
Just you and I!
Just the two of us.. (4X)
[Eminem]
Just me and you baby
is all we need in this world
Just me and you
Your da-da will always be there for you
Your da-da's always gonna love you
Remember that
If you ever need me I will always be here for you
If you ever need anything, just ASK
Da-da will be right there
Your da-da loves you
I love you baby
"
"7","https://www.allthelyrics.com/lyrics/eminem/3_questions-lyrics-141693.html","eminem","3 Questions ","was i born to lose
c'mon muthafucker pick and chose
between win or lose
baby shoes, high-heeled shoes
interviews, or kangaroos
skatin down fuckin avenues
wit you bag full of barbecues
and suddenly i blow a fuse
god she said i look like a porcupine
would it be better if i took a hike with frankenstein
maybe i'll start thinking of giving my bike to palestine
meet my friend brit
she get real pissed off when muthafuckers ain't feelin her shit
she'll make you bleed if you fuck around with her per fit
you see her walkin round, clit ring and all, talkin your skit
k that's enuff for one verse
i don't think i cud've done no worse
so let me give you one of those that i put real well, gun curse
(chorus)that's part of my story, if you wanna be firm
brit'll put it down your pants, yea the earthworm
don't wanna be sorry, don't eat the bad germ
if you do, just drink the pachiderm
can my songs really make you get up and dance
well if they can, stay seated and take you cup to france
i think that bitch still wants that fuckin poppin chance
think of 50, dre, and eminem
they all battled and got succes and fame
fuck benzino
he called my man slim a feminem, see now
i never really had much 'pac influence
me had m.mathers and used it awful fluent
part of my life i was taught in fight and anger
my people won't let me hide my middle finder
but everyday i teach the good things to my little sista's
they only 2,3 years younger than me
but still need my help to be succesful in life, you see
and you really shud be givin that punch rite to me
(chorus)
you think i'm violent
well think again, if you want i'll let you alone in the silent
with my shit and weed i get high and thow a fit to anyone that gets close to my hand
my parents announced they were gonna get a divorce
it just became a lot worse
the whole opposite of me doin a verse
with a bunny or a horse
infact, what i had i'll never get it back
i'll always have this sick mind in me
but what the fuck, just let my shit be
there's a bug walkin 'long my ceilin
i ain't really fellin
yea that or this muthafuckin beatin
(chorus)
i luv ya'll
fuck me
"
"8","https://www.allthelyrics.com/lyrics/eminem/3_verses-lyrics-10633.html","eminem","3 Verses ","I'm the illest rapper to hold a cordless
Patrolling corners
Looking for hookers to punch in the mouth with a roll of quarters
I'm meaner in action
Than Rosco beating James Tarteenyer (?)
And smackin his back with vacuum cleaner attachments
I grew up in the wild hood
As a hazardous youth
With a fucked up childhood
That I used as an excuse
And aint shit changed
But kept the same mindstate
Since the third time that I failed 9th grade
You probably think that I'm a negative person don't be so sure of it
I don't promote violence I just encourage it
I laugh at the sight of death
As I fall down a cement flight of steps
And land inside a bed of spider webs
So throw caution to the wind
You and a friend
Can jump off of a bridge and if you live, do it again
Shit, why not?  Blow your brain out
I'm blowing mine out
Fuck it, you only live once you might as well die now
It's only fair to warn
I was born with a set of horns
And metaphors attached to my damn umbulical cord
Warlord of rap little bastard with a two by four board
That smashed into your Honda Accord
With a 4 door Ford
But a more toward (?) droppin an accapella
The choppa (?) fella
The mozarella
Worse than a hellacopta propella
Got you locked in the cella
With your skeleton showing
Developing anorexia
While I'm standin next to ya
Eating a full course meal watching you starve to death
With an IV in your veins
Feeding you liquid darvicet
Pumping you full of drugs
Pull the plugs
On the gunshot victims full of bullet slugs
Who were picked up in an ambulance
And driven
To receiving with the asses ripped outta they pants
And given
A less than 20 percent chance
Of living
Have a possible placement
It's a hospital patient
Storing the dead bodies in grandma's little basement
Doctor Kevorkian has arrived
To perform an autopsy on you while you scream  I'M STILL ALIVE!
Driving a rusty scalpel in through the top of your scalp
And pulling your adams apple out through your mouth
Better call the fire department
I've hired a arson
To set fire to carpet
And burn up your entire apartment
I'm a liar to start shit (?)
Got your bitch wrapped around my dick
So tight you need a crobar to pry her apart wit
Met a retarded kid named Greg with a wooden leg
Snatched it off and beat him over the fucking head with the peg
Go to bed with the keg wake up with the 40
Mixed up with Alka Seltzer and Formula 44D
Fuck an acid tab I'll strap the whole sheet to my forehead
Wait until it absorbed in and fell to the floor dead
No more said case closed end of discussion
I'm blowin up like spontaneous human combustion
Leaving you in the aftermath of holocaust and traumas
Cross the bombas (?)
We blowin up your house killing your parents 
and coming back to get your foster mommas
And I'm as good at keeping a promise as Nostradamus
Cause I aint making no more threats
I'm doing drivebys in tinted Corvettes on Vietnam war vets
I'm more or less sick in the head
Maybe more cause I smoked crack (?) 
today, yesterday, and the day before sabbath
Walk the block with a labrador
Strapit more corral for war than El Salvador
Foul style galore
Verbal cow manure
Coming together like the eyebrow on Al B. Sure
"
"9","https://www.allthelyrics.com/lyrics/eminem/313-lyrics-10563.html","eminem","313 ","Eye-Kyu: Now what you know about a sweet MC, from the 313
None of these skills you bout to see come free
So you wanna be a sweet MC, you gotta become me
If you ever wanna be one see
Eminem: Man what you know about a sweet MC, in the 313
None of these skills you bout to see come free
So you wanna be a sweet MC, you better become me
If you ever wanna be one see
Verse 1: Eye-Kyu
Yo some people say I'm whack, now if that's right
I'm the freshest whack MC that you ever heard, in your lifetime
My slick accapella sounds clever with the beats
Boy I'm the deepest thing since potholes to ever hit the streets
Forgot a gold digger's succubus , my souls thick with ruggedness
With the mic I'm like a dyke, can't no nigga fuck with this
I got more Different Strokes than Philip Drummound
On open mic I bone your women just to keep my lyrics coming (bitch)
We elevated to new heights premeditated
Let it be that I stated they hate it now that they see that I made it
The escalated can be put to the test of greatness
Snatch the heart from MC's and I ate it
So I take it that's the reason I'm hated
To represent my temperment
If rap was a dick all you so called hard MC's would not be impitant
But pimping it, and acting like you could rock a show (so)
Harder than LL's Rock the Bells, but you is a ho (now)
Everything that you collaborate I lacerate
My rhymes they keep coming like nympho maniacs that masturbate
At a faster rate, yeah I got something for your ass to hate
I blasterate, and have you all running master gates
And as for face clutching and touching the flows
I got them open like marijuana smoke up in your nose
Bucking these hoes, I got that shit down to a science
Leaving them hot and bothered, turned on like an appliance
Defiance, no we won't have that
You want your shit to blow up?
Well I'ma stuff some dynamite in your ass crack
And blast that shit to kingdom come
Then bring them some of this real hip-hop
I drop beats and you ain't singing or gonna do a thing about
And you all knew from Meeko
That you couldn't hold your own with the strength of Lou Forigno
So stop that bullshit and flow
Yo, you need to come with the real skills, and act like you know
Chorus: Eminem
So what you know about a sweet MC, in the 313
None of these skills you bout to see come free
So you wanna be a sweet MC, you better become me
If you ever wanna be one see
Eye-Kyu: Now what you know about a sweet MC, from the 313
None of these skills you bout to see come free
So you wanna be the sweet MC, you gotta become me
If you ever wanna be one see
Verse 2: Eminem
So what, you know about a sweet MC, in the 313
You don't know shit so when you see one flee
You can be Run-D, you'll never beat the MC
I'll stop the alphabet at S and got it down to a T
I'm sure your bound to agree, a sweet MC crashes the spot
I'll make the roof hot like I was Rock Master Scott
Your ass forgot, so just in case you don't remember me
I'll run your brain around the block to jog your fucking memory
It's either them or me man, kill or be killed
You will and be sealed your casket closed you still gonna be billed
My facilities filled with fans, packed to capacity
I'll send a rapper back with the crack of his ass shitty
If he's acting soft and he cowers
He better come cleaner then Jay Rue jacking off when he showers
You flowers got no clout with a thing
You could date a stick of dynamite and wouldn't go out with a bang
I showered the slang, simple as A,B,C's
Skip over the D's and rock the microphone with E's
Dethrone MC's and I'ma max alone
Relax your dome like a solo from a saxophone
So facts are known, writers get treated with shocks
I rock a beat harder then you could beat it with rocks
I'm greeted with flocks, of fellow follower's singers
You couldn't make the fans throw up their hands if they swallowed their
fingers
But you can bring yours let's see what you got
But don't front and never try to be what you're not
Cause you can be quick, jump the candlestick, burn your back
And fuck Jill on a hill, but you still ain't Jack
Chorus: Eye-Kyu
So what you know about a sweet MC, from the 313
None of these skills you just seen come free
So you wanna be a sweet MC, you'll never become me
So you ain't ever gonna be one see
Eminem: So what you know about a sweet MC, in the 313
None of these skills that you just seen come free
So you wanna be a sweet MC, you'll never become me
So you ain't ever gonna be one see
"
"10","https://www.allthelyrics.com/lyrics/eminem/313_feat_eye_kyu-lyrics-504887.html","eminem","313 (Feat. Eye Kyu) ","[Eye-Kyu:] Now what you know about a sweet MC, from the 313
None of these skills you bout to see come free
So you wanna be a sweet MC, you gotta become me
If you ever wanna be one see
[Eminem:] Man what you know about a sweet MC, in the 313
None of these skills you bout to see come free
So you wanna be a sweet MC, you better become me
If you ever wanna be one see
[Verse 1: Eye-Kyu]
Yo some people say I'm whack, now if that's right
I'm the freshest whack MC that you ever heard, in your lifetime
My slick accapella sounds clever with the beats
Boy I'm the deepest thing since potholes to ever hit the streets
Forgot a gold digger's succubus , my souls thick with ruggedness
With the mic I'm like a dyke, can't no nigga fuck with this
I got more Different Strokes than Philip Drummound
On open mic I bone your women just to keep my lyrics coming (bitch)
We elevated to new heights premeditated
Let it be that I stated they hate it now that they see that I made it
The escalated can be put to the test of greatness
Snatch the heart from MC's and I ate it
So I take it that's the reason I'm hated
To represent my temperment
If rap was a dick all you so called hard MC's would not be impitant
But pimping it, and acting like you could rock a show (so)
Harder than LL's Rock the Bells, but you is a ho (now)
Everything that you collaborate I lacerate
My rhymes they keep coming like nympho maniacs that masturbate
At a faster rate, yeah I got something for your ass to hate
I blasterate, and have you all running master gates
And as for face clutching and touching the flows
I got them open like marijuana smoke up in your nose
Bucking these hoes, I got that shit down to a science
Leaving them hot and bothered, turned on like an appliance
Defiance, no we won't have that
You want your shit to blow up?
Well I'ma stuff some dynamite in your ass crack
And blast that shit to kingdom come
Then bring them some of this real hip-hop
I drop beats and you ain't singing or gonna do a thing about
And you all knew from Meeko
That you couldn't hold your own with the strength of Lou Forigno
So stop that bullshit and flow
Yo, you need to come with the real skills, and act like you know
[Chorus: Eminem]
So what you know about a sweet MC, in the 313
None of these skills you bout to see come free
So you wanna be a sweet MC, you better become me
If you ever wanna be one see
[Eye-Kyu:] Now what you know about a sweet MC, from the 313
None of these skills you bout to see come free
So you wanna be the sweet MC, you gotta become me
If you ever wanna be one see
[Verse 2: Eminem]
So what, you know about a sweet MC, in the 313
You don't know shit so when you see one flee
You can be Run-D, you'll never beat the MC
I'll stop the alphabet at S and got it down to a T
I'm sure your bound to agree, a sweet MC crashes the spot
I'll make the roof hot like I was Rock Master Scott
Your ass forgot, so just in case you don't remember me
I'll run your brain around the block to jog your fucking memory
It's either them or me man, kill or be killed
You will and be sealed your casket closed you still gonna be billed
My facilities filled with fans, packed to capacity
I'll send a rapper back with the crack of his ass shitty
If he's acting soft and he cowers
He better come cleaner then Jay Rue jacking off when he showers
You flowers got no clout with a thing
You could date a stick of dynamite and wouldn't go out with a bang
I showered the slang, simple as A,B,C's
Skip over the D's and rock the microphone with E's
Dethrone MC's and I'ma max alone
Relax your dome like a solo from a saxophone
So facts are known, writers get treated with shocks
I rock a beat harder then you could beat it with rocks
I'm greeted with flocks, of fellow follower's singers
You couldn't make the fans throw up their hands if they swallowed their
fingers
But you can bring yours let's see what you got
But don't front and never try to be what you're not
Cause you can be quick, jump the candlestick, burn your back
And fuck Jill on a hill, but you still ain't Jack
[Chorus: Eye-Kyu]
So what you know about a sweet MC, from the 313
None of these skills you just seen come free
So you wanna be a sweet MC, you'll never become
"
